FirmCode,Party Reference,Roles,Linked Reference
JJ ,JJABT001  ,GIA,JJABT001  
JJ ,JJACT001  ,PCI Connected Party,JJATG002  
JJ ,JJACT001  ,PCI Connected Party,JJATY001  
JJ ,JJACT001  ,PCI Connected Party,JJATG001  
JJ ,JJACT001  ,PCI Connected Party,JJAIL001  
JJ ,JJACT001  ,PCI Connected Party,JJSEV001  
JJ ,JJAGENX   ,GIA,JJAGENX   
JJ ,JJAIL001  ,GIA,JJAIL001  
JJ ,JJAIL001  ,PCI Connected Party,JJTHT001  
JJ ,JJAIM001  ,CRS Substantial Owner,JJFUL001  
JJ ,JJAIM001  ,PCI Connected Party,JJFUL001  
JJ ,JJAIM001  ,PCI Connected Party,JJSLD001  
JJ ,JJAND001  ,,
JJ ,JJAND002  ,,
JJ ,JJAND003  ,GIA,JJAND003  
JJ ,JJAPO001  ,GIA,JJAPO001  
JJ ,JJASA001  ,CRS Participant,JJASA002  
JJ ,JJASA001  ,FATCA Participant,JJASA002  
JJ ,JJASA001  ,Joint,JJASA002  
JJ ,JJASA001  ,PCI Connected Party,JJASA002  
JJ ,JJASR001  ,CRS Participant,JJASA002  
JJ ,JJASR001  ,FATCA Participant,JJASA002  
JJ ,JJASR001  ,Joint,JJASA002  
JJ ,JJASR001  ,PCI Connected Party,JJASA002  
JJ ,JJATD001  ,GIA,JJATD001  
JJ ,JJATG001  ,GIA,JJATG001  
JJ ,JJATG002  ,GIA,JJATG002  
JJ ,JJATY001  ,GIA,JJATY001  
JJ ,JJAVE001  ,PCI Connected Party,JJEIL001  
JJ ,JJAVT001  ,PCI Connected Party,JJEIL001  
JJ ,JJAYU001  ,GIA,JJAYU001  
JJ ,JJBAB001  ,CRS Substantial Owner,JJGEH001  
JJ ,JJBAB001  ,CRS Substantial Owner,JJGEH003  
JJ ,JJBAB001  ,PCI Connected Party,JJGEH003  
JJ ,JJBAB001  ,PCI Connected Party,JJGEH001  
JJ ,JJBAH001  ,GIA,JJBAH001  
JJ ,JJBAJ001  ,PCI Connected Party,JJDVH001  
JJ ,JJBALANCE ,GIA,JJBALANCE 
JJ ,JJBAS001  ,CRS Substantial Owner,JJGEH003  
JJ ,JJBAS001  ,CRS Substantial Owner,JJGEH001  
JJ ,JJBAS001  ,PCI Connected Party,JJGEH001  
JJ ,JJBAS001  ,PCI Connected Party,JJGEH003  
JJ ,JJBEA001  ,CRS Participant,JJBEA002  
JJ ,JJBEA001  ,Joint,JJBEA002  
